Research Question 1: What types of tools are used in the pipeline?
Repositories with Jenkinsfiles downloaded from GitHub: 200
Number of Jenkinsfiles suitable for parsing: 177
Number of Different Build Tools: 6
"Different Types of Build Tools: ['maven', 'jdk', 'nodejs', 'git', 'gradle', 'go']"
Average Number of Build Tools Used Per Repository: 1.4915
"Frequency of Build Tool Use by Repository: maven: 0.54, jdk: 0.39, nodejs: 0.04, git: 0.01, gradle: 0.02, go: 0.0, "
"
"
Parsed Jenkinsfile Data
RepoNum,Username,RepositoryName,ToolType,ToolVersion,NumberOfTools
,,,,,
80,HE-Arc-ODI,IndusJenkinsfile_mirko_muller,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
81,rowanfoo,jenkinsbuild,maven,MAVEN,1
,,,jdk,JDK8,2
,,,,,
82,godstone,mrs_stqm,maven,maven 3.3.3,1
,,,jdk,jdk8,2
,,,,,
83,kammavar,Tests,maven,maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
84,fxjordan,rest-job-service,jdk,jdk-8,1
,,,,,
85,ravindra2479,ravindrajava,jdk,jdk,1
,,,maven,maven3,2
,,,,,
86,lenastshaleb,PicMonolitic,maven,Maven,1
,,,nodejs,NodeJS,2
,,,jdk,Jdk,3
,,,,,
87,valentindubois,JenkinsTest,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
88,zaileon,CreateReactApp,nodejs,node8,1
,,,,,
89,AspireInformationTechnologiesLimited,amq,maven,maven350,1
,,,jdk,sunjdk8,2
,,,gradle,gradle41,3
,,,,,
90,20ayoub,Mavenclinic,maven,Maven339,1
,,,jdk,JAVA8,2
,,,,,
,,,,,
92,MarshallZhenningLiu,smurfshop,jdk,java,1
,,,,,
93,tomowork,alipay-sdk-java,maven,Maven 3.3.9,1
,,,,,
94,vamsi454,junit-sample-app,maven,M2_HOME,1
,,,,,
95,bahadyr,testone,maven,maven-3.5.3,1
,,,,,
96,daanaerts,automatically-angular,nodejs,Node 6.9.5,1
,,,,,
97,brettporter,blue-ocean-node-test,nodejs,Node 6.x,1
,,,,,
98,anthonyikeda,basic-api,maven,Maven 3.5.0,1
,,,jdk,jdk8,2
,,,,,
99,dwalldorf,timetrack,maven,mvn3,1
,,,jdk,jdk8,2
,,,,,
100,abeyratc,mergenote,maven,Maven 3.3.9,1
,,,jdk,jdk8,2
,,,,,
,,,,,
102,michaelcoll,test-jenkinsfile,maven,Maven 3.5.3,1
,,,jdk,jdk8,2
,,,,,
103,partha-dey,myRepo,maven,test1,1
,,,,,
