Research Question #6: Which archived artifact file extensions are most frequently and least frequently fingerprinted?
Answer: 
fingerprint,Extension,NumArtifacts,Percentage
true,.jar,62,55.9
true,None,17,15.3
true,All,10,9.0
true,.zip,7,6.3
true,.sh,4,3.6
true,.war,4,3.6
true,.xml,4,3.6
true,.html,3,2.7
"
"
"Jenkinsfile Parsed Data for Artifacts, Fingerprints and Extensions"
RepoNum,Username,RepositoryName,Extension,fingerprint,Occurrence
113,sandeep078,newproject1,.jar,true,1
113,sandeep078,newproject1,.jar,true,2
114,MarkEWaite,DevOptics-application,.sh,true,1
115,shawnbelton,dccweb,.jar,true,1
115,shawnbelton,dccweb,.zip,true,2
115,shawnbelton,dccweb,.tar.gz,true,3
116,jihed,openshift-jmeter-kafka,.csv,false,1
116,jihed,openshift-jmeter-kafka,.log,false,2
116,jihed,openshift-jmeter-kafka,.*,false,3
117,SWEN6305,management,.war,false,1
118,dwalldorf,track-my-time,.xml,true,1
118,dwalldorf,track-my-time,.jar,true,2
118,dwalldorf,track-my-time,.xml,true,3
118,dwalldorf,track-my-time,None,true,4
119,GlacierOS,glacier-build,.iso,true,1
120,mani189189,jbuild2,.jar,true,1
121,ohnx-plugins,DispenserTool,.0.1.jar,false,1
122,PrabhakaranAnnadurai,DemoProject4,.txt,false,1
123,sudhirnakka,build-user-vars-plugin,.jar,true,1
123,sudhirnakka,build-user-vars-plugin,.hpi,true,2
124,Awia00,AndersWind.dk,None,true,1
125,freenas,build,All,true,1
125,freenas,build,All,true,2
126,j-selby,leaffront,None,false,1
126,j-selby,leaffront,.exe,false,2
126,j-selby,leaffront,.deb,false,3
127,laogen01,tic-tac,None,false,1
128,dwalldorf,track-my-fuel,.xml,true,1
128,dwalldorf,track-my-fuel,.jar,true,2
128,dwalldorf,track-my-fuel,.xml,true,3
128,dwalldorf,track-my-fuel,None,true,4
129,alexpask,hello-world,.jar,false,1
130,Sharparam,pd2-sharpmod,.zip,true,1
131,eddyce,keras.sample1,.whl,true,1
131,eddyce,keras.sample1,.gz,true,2
132,aarmey,CV,.pdf,false,1
132,aarmey,CV,.pdf,false,2
133,wcpannell,riata-wiring,All,false,1
134,m-m-m,security,.jar,true,1
135,KyleU,databaseflow,.zip,true,1
136,scotnielsen,AirportDemo,.*,false,1
136,scotnielsen,AirportDemo,.log,false,2
137,jenkinsci,sentry-plugin,.hpi,true,1
138,deiviz79,maven-project-pipeline,.war,false,1
139,sandeep078,jenkins-server,.jar,true,1
139,sandeep078,jenkins-server,.jar,true,2
140,beeva-franciscodiaz,test-pipeline,None,true,1
141,ONS-OpenData,Ref_CN,.ttl,false,1
142,sandeep078,maven-new,.jar,true,1
142,sandeep078,maven-new,.jar,true,2
143,yeswanth1234,a,.war,false,1
144,PaulTrampert,github-release-plugin,.hpi,false,1
145,shariati,test-blue-ocean,None,false,1
145,shariati,test-blue-ocean,None,false,2
146,kriszhi,scripts,.jar,false,1
147,hbenmansour,openshift-jmeter-kafka,.csv,false,1
147,hbenmansour,openshift-jmeter-kafka,.log,false,2
147,hbenmansour,openshift-jmeter-kafka,.*,false,3
148,stefhen,jenkins-pipeline,None,true,1
149,akshya-j31,my-app,.jar,true,1
150,MrZeroo00,nRF52_SDK13,.hex,false,1
150,MrZeroo00,nRF52_SDK13,.out,false,2
151,dittoslash,conductor,None,false,1
151,dittoslash,conductor,None,false,2
152,sandeep078,Sample,.jar,true,1
152,sandeep078,Sample,.jar,true,2
153,camielvanramele,Graduation-Internship,.json,false,1
153,camielvanramele,Graduation-Internship,.ini,false,2
153,camielvanramele,Graduation-Internship,.txt,false,3
153,camielvanramele,Graduation-Internship,.log,false,4
153,camielvanramele,Graduation-Internship,.json,false,5
153,camielvanramele,Graduation-Internship,.ini,false,6
153,camielvanramele,Graduation-Internship,.txt,false,7
153,camielvanramele,Graduation-Internship,.log,false,8
153,camielvanramele,Graduation-Internship,.json,false,9
153,camielvanramele,Graduation-Internship,.ini,false,10
153,camielvanramele,Graduation-Internship,.txt,false,11
153,camielvanramele,Graduation-Internship,.log,false,12
154,CodeValet,codevalet.io,.html,true,1
154,CodeValet,codevalet.io,All,true,2
155,dek8000,eos,.json,false,1
155,dek8000,eos,.ini,false,2
155,dek8000,eos,.txt,false,3
155,dek8000,eos,.log,false,4
155,dek8000,eos,.json,false,5
155,dek8000,eos,.ini,false,6
155,dek8000,eos,.txt,false,7
155,dek8000,eos,.log,false,8
155,dek8000,eos,.json,false,9
155,dek8000,eos,.ini,false,10
155,dek8000,eos,.txt,false,11
155,dek8000,eos,.log,false,12
156,CodeValet,ruby-service-template,.html,true,1
156,CodeValet,ruby-service-template,All,true,2
157,nenov-nikola,shop,.war,false,1
158,Ysingle,jenkins_MyFirstPipeline,.jar,true,1
159,Marconi-weLearn,weLearn-be,.jar,false,1
159,Marconi-weLearn,weLearn-be,.jar,false,2
160,anthonykulis,simple-test,.war,true,1
161,effectivejenkins,effective_jenkins_volume2,.jar,true,1
162,amiteshCoder,demo-repo,.war,false,1
163,m-m-m,util,.jar,true,1
164,ajitsahu,pipeline-project,None,true,1
165,quantenkeks,golden-nugget,None,true,1
166,jherbage,sample-java-project,.jar,true,1
167,KodingKing1,KKOS,.jar,false,1
168,tosektosek,cinematograph,None,false,1
169,lcfb91,test,All,false,1
170,mattwilliams5,java-project,.jar,true,1
171,ubports,ubports-installer,All,true,1
172,sowmithgantla,jenkins_test,None,true,1
173,themr0c,themr0ctalks,.html,true,1
174,JohnTortugo,Semantikin,None,true,1
175,cmagnuson,DataLoader,All,true,1
176,prash231,java-project,.jar,true,1
177,kdamera1,Jenkins-Pipeline-Without-SCM,None,true,1
178,KodingKing1,KKOS,.jar,false,1
